question,prob
dems_win_PRES,0.358
dems_win_SENATE,0.18
dems_win_HOUSE,0.5
dems_win_POPULAR_VOTE,0.62
dems_win_PRES_AK,0.06
dems_win_PRES_AZ,0.27
dems_win_PRES_FL,0.06
dems_win_PRES_GA,0.31
dems_win_PRES_IA,0.06
dems_win_PRES_ME,0.88
dems_win_PRES_MI,0.41
dems_win_PRES_MN,0.89
dems_win_PRES_NE2,0.86
dems_win_PRES_NV,0.37
dems_win_PRES_NH,0.85
dems_win_PRES_NM,0.9
dems_win_PRES_NC,0.3
dems_win_PRES_OH,0.06
dems_win_PRES_PA,0.39
dems_win_PRES_TX,0.07
dems_win_PRES_VA,0.84
dems_win_PRES_WI,0.44
dems_win_SENATE_AZ,0.83
dems_win_SENATE_FL,0.11
dems_win_SENATE_MD,0.91
dems_win_SENATE_MI,0.68
dems_win_SENATE_MT,0.19
dems_win_SENATE_NV,0.83
dems_win_SENATE_NM,0.93
dems_win_SENATE_OH,0.38
dems_win_SENATE_PA,0.7
dems_win_SENATE_TX,0.18
dems_win_SENATE_WI,0.69
dems_win_GOV_MT,0.024
dems_win_GOV_NH,0.53
dems_win_GOV_VT,0.06
dems_win_HOUSE_AK01,0.595
dems_win_HOUSE_AZ01,0.32
dems_win_HOUSE_AZ06,0.375
dems_win_HOUSE_CA13,0.625
dems_win_HOUSE_CA22,0.63
dems_win_HOUSE_CA41,0.31
dems_win_HOUSE_IA01,0.44
dems_win_HOUSE_IA03,0.4
dems_win_HOUSE_NY04,0.735
dems_win_HOUSE_NY17,0.505
dems_win_HOUSE_NY19,0.59
dems_win_HOUSE_OR05,0.58
dems_win_HOUSE_PA10,0.445
dems_win_HOUSE_WA03,0.515
