question,prob
dems_win_PRES,0.49660321617576897
dems_win_SENATE,0.198479448985886
dems_win_HOUSE,0.567689155237827
dems_win_POPULAR_VOTE,0.755943354380395
dems_win_PRES_AK,0.06949738403846835
dems_win_PRES_AZ,0.2772108989691135
dems_win_PRES_FL,0.05999179492754285
dems_win_PRES_GA,0.31776469956136466
dems_win_PRES_IA,0.17998805455475533
dems_win_PRES_ME,0.9504582167871446
dems_win_PRES_MI,0.6279343042842095
dems_win_PRES_MN,0.9399891738592945
dems_win_PRES_NE2,0.8639370754711123
dems_win_PRES_NV,0.44627825654352316
dems_win_PRES_NH,0.8281969525005851
dems_win_PRES_NM,0.931388842179394
dems_win_PRES_NC,0.3440737349140743
dems_win_PRES_OH,0.09337945839984184
dems_win_PRES_PA,0.5182572300293138
dems_win_PRES_TX,0.07102229521493075
dems_win_PRES_VA,0.9357064999175231
dems_win_PRES_WI,0.5760643721740986
dems_win_SENATE_AZ,0.799868938056074
dems_win_SENATE_FL,0.11168819219070412
dems_win_SENATE_MD,0.9198097535680322
dems_win_SENATE_MI,0.7470547616664049
dems_win_SENATE_MT,0.21748088713542135
dems_win_SENATE_NV,0.8501855841985158
dems_win_SENATE_NM,0.9507514275261351
dems_win_SENATE_OH,0.5338361194314093
dems_win_SENATE_PA,0.6882735195685971
dems_win_SENATE_TX,0.21333174727300203
dems_win_SENATE_WI,0.7420893462339286
dems_win_GOV_MT,0.12471913212144341
dems_win_GOV_NH,0.4326887524385589
dems_win_GOV_VT,0.07209326188030359
dems_win_HOUSE_AK01,0.7324249463246507
dems_win_HOUSE_AZ01,0.4288209088696687
dems_win_HOUSE_AZ06,0.4546077015997
dems_win_HOUSE_CA13,0.5986045614984039
dems_win_HOUSE_CA22,0.44610474955629453
dems_win_HOUSE_CA41,0.42806288922703717
dems_win_HOUSE_IA01,0.6423655128503647
dems_win_HOUSE_IA03,0.46461453495718363
dems_win_HOUSE_NY04,0.8331377986854678
dems_win_HOUSE_NY17,0.4447290931691251
dems_win_HOUSE_NY19,0.8239538220742739
dems_win_HOUSE_OR05,0.793125690309867
dems_win_HOUSE_PA10,0.4314999179031562
dems_win_HOUSE_WA03,0.7361439173259655
