question,prob
dems_win_PRES,0.42
dems_win_SENATE,0.2
dems_win_HOUSE,0.55
dems_win_POPULAR_VOTE,0.733
dems_win_PRES_AK,0.079
dems_win_PRES_AZ,0.25
dems_win_PRES_FL,0.07
dems_win_PRES_GA,0.35
dems_win_PRES_IA,0.18
dems_win_PRES_ME,0.91
dems_win_PRES_MI,0.61
dems_win_PRES_MN,0.92
dems_win_PRES_NE2,0.9
dems_win_PRES_NV,0.39
dems_win_PRES_NH,0.86
dems_win_PRES_NM,0.91
dems_win_PRES_NC,0.36
dems_win_PRES_OH,0.1
dems_win_PRES_PA,0.44
dems_win_PRES_TX,0.08
dems_win_PRES_VA,0.88
dems_win_PRES_WI,0.59
dems_win_SENATE_AZ,0.79
dems_win_SENATE_FL,0.1
dems_win_SENATE_MD,0.93
dems_win_SENATE_MI,0.76
dems_win_SENATE_MT,0.19
dems_win_SENATE_NV,0.78
dems_win_SENATE_NM,0.95
dems_win_SENATE_OH,0.5
dems_win_SENATE_PA,0.78
dems_win_SENATE_TX,0.19
dems_win_SENATE_WI,0.75
dems_win_GOV_MT,0.017
dems_win_GOV_NH,0.38
dems_win_GOV_VT,0.002
dems_win_HOUSE_AK01,0.585
dems_win_HOUSE_AZ01,0.385
dems_win_HOUSE_AZ06,0.38
dems_win_HOUSE_CA13,0.61
dems_win_HOUSE_CA22,0.61
dems_win_HOUSE_CA41,0.445
dems_win_HOUSE_IA01,0.71
dems_win_HOUSE_IA03,0.54
dems_win_HOUSE_NY04,0.74
dems_win_HOUSE_NY17,0.22
dems_win_HOUSE_NY19,0.59
dems_win_HOUSE_OR05,0.615
dems_win_HOUSE_PA10,0.555
dems_win_HOUSE_WA03,0.465
